iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433971905	false	false	true	true	false	false	false	false	loke	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433974899	false	false	false	false	false	false	false	false	huli	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433977949	false	false	true	false	false	false	false	false	goki	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433981173	false	false	false	false	false	false	false	true	kinu	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433984812	false	true	false	false	false	false	false	false	loke	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433986377	false	true	false	false	false	false	false	false	pepu	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433988965	false	false	false	false	false	false	false	false	gugu	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433992666	false	false	true	true	false	false	false	false	mono	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433992728	false	false	false	false	false	false	false	false	huli	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433994773	false	false	false	false	false	false	false	false	goki	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433995305	false	false	false	false	false	false	false	false	nolu	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433997905	false	false	false	false	false	false	false	false	maka	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516433998238	false	false	false	false	false	false	false	true	kinu	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434000570	true	false	false	false	false	false	false	false	wuku	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434003682	false	false	false	false	false	false	false	false	nele	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434003886	false	true	false	false	false	false	false	false	pepu	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434006974	false	false	false	false	true	false	false	false	hiwo	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434008728	false	false	false	false	false	false	false	false	gugu	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434009992	false	false	false	false	false	false	false	false	niha	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434011808	false	false	false	true	false	false	false	false	mono	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434013342	false	false	false	false	false	false	true	false	kone	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434013906	false	false	false	false	false	false	false	false	nolu	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434016636	false	false	false	false	false	false	false	false	naho	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434019150	false	false	false	false	false	true	false	false	giwa	speaker	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434029248	true	false	false	false	false	false	false	false	maka	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434036522	false	false	true	false	false	false	false	false	wuku	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434040527	false	false	false	false	false	false	false	false	nele	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434043523	false	false	false	false	true	false	false	false	hiwo	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434046339	false	false	false	false	false	false	false	false	niha	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434049802	false	false	false	false	false	false	true	false	kone	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434053274	false	false	false	false	false	false	false	false	naho	listener	postTest_word
experiment1	3240-0dccfb54-e353-4674-9fca-824ec7ac8ff3	1516434056347	false	false	false	false	false	true	false	false	giwa	listener	postTest_word
