iterationName	gameid	time	stimulusHalf	condition	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960400716	circle	mixed	false	false	false	true	guwe	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960416816	circle	mixed	true	false	true	false	wako	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960421612	circle	mixed	false	false	true	false	nake	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960424947	circle	mixed	false	true	false	false	mopo	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960428336	circle	mixed	true	false	false	false	kipe	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960429290	circle	mixed	true	true	false	false	hala	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960432502	circle	mixed	false	true	false	false	mapu	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960435327	circle	mixed	false	true	false	true	wako	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960439073	circle	mixed	false	true	false	false	mopo	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960441011	circle	mixed	false	false	false	true	noma	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960441717	circle	mixed	true	false	true	false	guwe	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960444786	circle	mixed	true	false	false	false	kipe	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960449964	circle	mixed	false	false	true	true	heno	listener	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960450579	circle	mixed	true	true	false	false	hala	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960464802	circle	mixed	false	false	false	true	mapu	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960467413	circle	mixed	false	false	true	true	heno	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960469594	circle	mixed	true	false	false	true	noma	speaker	postTest_word
experiment2_pilot	6280-c49fd34c-d449-41e6-88bd-4409aeb5733e	1531960472379	circle	mixed	false	false	true	false	nake	speaker	postTest_word
